RiskID,RiskTitle,RiskDescription,ApplicableSectors,SourceReference
NRB-MP-002,TITO facilities,Ticket-in-ticket-out (TITO) facilities used to launder funds when used in conjunction with automatic ticket redemption machines (ATR) (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-MP-003,Cashless payment,Cashless payment methods in land-based venues (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-MP-004,Scottish notes,Scottish notes used to exchange for English notes without proper source verification (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
RC-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-OC-002,High monetary thresholds,High monetary thresholds allowing large-scale money laundering without triggering enhanced due diligence (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-OC-003,High value customer schemes,High value customer schemes (VIP programs) potentially exploited by money launderers (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-OC-004,Failure to implement closed loop,Failure to implement a closed loop system allowing withdrawals to different payment methods than deposits (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-OC-005,Over-reliance on payment providers,Over reliance on payment providers for carrying out customer due diligence (CDD) measures (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-OC-006,Third party business relationships,Third party business relationships and business investors potentially linked to organized crime (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-OC-007,Lack of personnel competence,Lack of competence of key personnel and licence holders which can then potentially be exploited by criminals seeking to launder the proceeds of crime (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-LI-001,Organized crime ownership,Gambling operations being acquired by organised crime to launder criminal proceeds or the Ultimate Beneficial Ownership is a criminal or involved in criminal activity (Likelihood: Low Impact: High Overall: 3),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-LI-002,White label providers,White label providers creating oversight challenges and potential criminal exploitation (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-001,Customer not physically present,Customer not physically present for identification purposes enabling easier identity fraud (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-002,False or stolen identity documentation,False or stolen identity documentation used to bypass controls to facilitate the laundering of criminal funds (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-003,Multiple remote casinos,Accessibility to multiple remote casinos to fragment transactions and avoid detection thresholds (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-004,Sanctioned customers,Customers who appear on financial sanctions lists laundering funds which are subject to an asset freeze (Likelihood: Low Impact: High Overall: 3),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-005,Foreign PEPs,Foreign politically exposed persons (PEPs) using casinos to launder illicit or criminal funds (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-006,Domestic PEPs,Domestic PEPs using casinos to clean criminal funds identification and verification (Likelihood: Low Impact: Medium Overall: 2),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-007,Smurfing,Customers making numerous low-level transactions to minimise suspicion and evade CDD requirements at the threshold ('smurfing') (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-008,Third party agents,Use of third parties or agents to obscure the source or ownership of money gambled by customers and their identities (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-009,Organised crime gangs,Organised crime gangs using casinos systematically for money laundering operations (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-CV-010,Mule accounts,Mule accounts used to layer transactions and obscure beneficial ownership (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-MP-001,E-wallet,E-wallet providing additional layer of separation from source of funds (Likelihood: Medium Impact: Medium Overall: 4),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-MP-002,Crypto asset transactions,Crypto asset transactions providing anonymity and difficulty in tracing funds (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-MP-003,Pre-paid cards,Pre-paid cards used to obscure source of funds and enable anonymous deposits (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-MP-004,Multiple payment methods,Multiple methods of payment used to layer transactions and obscure audit trail (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-MP-005,Casinos as MSBs,Casinos acting as Money Service Businesses (MSBs) creating additional ML/TF vulnerabilities (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-PV-001,Peer to Peer Gaming,Peer to Peer Gaming (poker) - Business to Business and Business to Customer enabling player-to-player fund transfers (Likelihood: High Impact: High Overall: 9),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-PV-002,High-stakes gambling,High-stakes gambling and feature buy-in slots allowing rapid movement of large sums (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
RC-GV-001,High-risk jurisdictions,Customers from high-risk jurisdictions using casino facilities to launder criminal funds (Likelihood: Medium Impact: High Overall: 6),Casino Remote,UKGC 2023 ML/TF Risk Assessment - Remote Casino
GS-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Low Impact: Low Overall: 1),Gambling Software,UKGC 2023 ML/TF Risk Assessment - Gambling Software
GS-OC-002,Inadequate third-party due diligence,Inadequate or lack of due diligence checks on any third-party providers (for example test houses) (Likelihood: Low Impact: Medium Overall: 2),Gambling Software,UKGC 2023 ML/TF Risk Assessment - Gambling Software
GS-OC-003,Third party business relationships,Third-party business relationships and business investors potentially linked to organized crime (Likelihood: Low Impact: Medium Overall: 2),Gambling Software,UKGC 2023 ML/TF Risk Assessment - Gambling Software
GMT-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Low Impact: Low Overall: 1),Technical,UKGC 2023 ML/TF Risk Assessment - Gaming Machine Technical
GMT-OC-002,Inadequate third-party due diligence,Inadequate or lack of due diligence checks on any third-party providers (for example test houses) (Likelihood: Medium Impact: Low Overall: 2),Technical,UKGC 2023 ML/TF Risk Assessment - Gaming Machine Technical
GMT-OC-003,Lack of technical standards adherence,Lack of adherence with Technical Standards creating vulnerabilities (Likelihood: Low Impact: Low Overall: 1),Technical,UKGC 2023 ML/TF Risk Assessment - Gaming Machine Technical
GMT-OC-004,Third party business relationships,Third-party business relationships and business investors potentially linked to organized crime (Likelihood: Low Impact: Medium Overall: 2),Technical,UKGC 2023 ML/TF Risk Assessment - Gaming Machine Technical
GMT-PV-001,Gaming machines for laundering,Gaming machines Category B C and D fixed odds betting terminals (FOBTs) self-service betting terminals (SSBTs) ticket-in-ticket-out (TITO) used to launder the proceeds of crime (Likelihood: Low Impact: Low Overall: 1),Technical,UKGC 2023 ML/TF Risk Assessment - Gaming Machine Technical
GMT-PV-002,TITO with ATR machines,TITO-enabled gaming machines used to launder funds when used with Automated ticket redemption machines (ATR) (Likelihood: Low Impact: Low Overall: 1),Technical,UKGC 2023 ML/TF Risk Assessment - Gaming Machine Technical
SL-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-OC-002,Third party business relationships,Third-party business relationships and business investors (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-OC-003,Proceeds misappropriation,Licensee failing to transfer lottery proceeds to charities (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-LI-001,Organized crime acquisition,Operator being acquired by organised crime to launder criminal funds (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-CV-001,Anonymous customers,Anonymous customers (Non-Remote) (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-CV-002,False and stolen identity,False and stolen identity documentation (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-CV-003,Customer not physically present,Customer not physically present (remote) (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-PV-001,Interactive instant win games online,Interactive instant win games (online) (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-PV-002,Scratch cards,Scratch cards or interactive instant win games (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
SL-MP-001,Cash transactions,Cash transactions (non-remote only) (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - Society Lotteries
NL-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - National Lottery
NL-OC-002,KYC checks,'Know your customer' (KYC) checks (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - National Lottery
NL-LI-001,Organized crime acquisition,National Lottery acquired by organised crime to launder criminal funds (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - National Lottery
NL-CV-001,Anonymous customers,Anonymous customers (non-remote) (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - National Lottery
NL-CV-002,False and stolen identity,False and stolen identity documentation (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - National Lottery
NL-CV-003,Customer not physically present,Customer not physically present (remote) (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - National Lottery
NL-PV-001,Scratch cards,Scratch cards or interactive instant win games (Likelihood: Low Impact: Low Overall: 1),Bingo,UKGC 2023 ML/TF Risk Assessment - National Lottery
AGC-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-OC-002,Lack of personnel competency,Lack of competency of key personnel and licence holders which can then be exploited by criminals seeking to launder the proceeds of crime (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-OC-003,Third party business relationships,Third party business relationships and business investors (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-LI-001,Organized crime acquisition,Arcade businesses being acquired by organised crime to launder criminal proceeds (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-CV-001,Anonymous customers,Anonymous customers laundering proceeds of crime through gaming machines (Likelihood: Medium Impact: Medium Overall: 4),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-PV-001,ATR machines,Automated ticket redemption (ATR) machines used to facilitate the laundering of criminally derived funds (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-PV-002,Gaming machines Category B3,Gaming machines Category B3 being used to launder criminally derived funds (Likelihood: Medium Impact: Medium Overall: 4),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-PV-003,Privacy booths,Privacy booths reducing staff oversight and enabling private transactions (Likelihood: Medium Impact: Medium Overall: 4),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-PV-004,BYOD systems,Bring your own device (BYOD) (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-MP-001,Cash transactions,Cash transactions providing anonymity (Likelihood: Medium Impact: Medium Overall: 4),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-MP-002,Cashless payments,Cashless payments creating new vulnerabilities (Likelihood: Medium Impact: Medium Overall: 4),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-MP-003,TITO facilities,Ticket-in-ticket-out (TITO) facilities used to launder funds when used in conjunction with ATR machines (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-MP-004,Dyed notes,Dyed notes from theft or robbery (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
AGC-MP-005,Scottish notes,Scottish notes including counterfeit concerns (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - AGC
FEC-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-OC-002,Lack of personnel competency,Lack of competency of key personnel and licence holders which can then be exploited by criminals seeking to launder the proceeds of crime (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-OC-003,Third party business relationships,Third party business relationships and business investors (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-LI-001,Organized crime acquisition,Arcade businesses being acquired by organised crime to launder criminal proceeds (Likelihood: Low Impact: Low Overall: 1),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-CV-001,Anonymous customers,Anonymous customers laundering proceeds of crime through gaming machines (Likelihood: Low Impact: Low Overall: 1),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-PV-001,Privacy booths,Privacy booths in family environment (Likelihood: Medium Impact: Low Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-PV-002,BYOD systems,Bring your own device (BYOD) (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-MP-001,Cash transactions,Cash transactions (Likelihood: Medium Impact: Medium Overall: 4),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-MP-002,Cashless payments,Cashless payments (Likelihood: Medium Impact: Medium Overall: 4),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-MP-003,Dyed notes,Dyed notes from theft or robbery (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
FEC-MP-004,Scottish notes,Scottish notes including counterfeit concerns (Likelihood: Low Impact: Medium Overall: 2),AGC,UKGC 2023 ML/TF Risk Assessment - FEC
RBet-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-OC-002,Operators self-staking,Operators staking and winning directly and indirectly on their own products (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-OC-003,Lack of personnel competence,Lack of competence of key personnel and licence holders which can then be exploited by criminals seeking to launder the proceeds of crime (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-OC-004,Inadequate KYC checks,Inadequate or lack of 'know your customer' (KYC) checks resulting in criminals laundering criminal proceeds or risk of this occurring (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-OC-005,High value customer schemes,'High value' customer schemes (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-OC-006,High monetary thresholds,High monetary thresholds allowing large-scale money laundering (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-OC-007,KYC at withdrawal,KYC completed at the point of withdrawal creating laundering window (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-OC-008,Third party business relationships,Third party business relationships and business investors (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-LI-001,Organized crime ownership,Gambling operations run or acquired by organised criminals to launder criminally derived funds (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-LI-002,White label providers,White label providers creating oversight challenges (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-001,False or stolen documentation,False or stolen documentation used to bypass controls to launder criminally derived funds (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-002,Multiple remote accounts,Accessibility to multiple remote accounts (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-003,High-risk jurisdictions,Customers from high risk or non-cooperative jurisdictions using remote facilities to launder criminally derived funds (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-004,Sanctioned customers,Customers who appear on international financial sanctions lists laundering criminal funds (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-005,Smurfing,'Smurfing' - numerous low-level transactions to evade detection (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-006,Mule betting accounts,'Mule' betting accounts used to layer transactions (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-007,PEPs,Politically exposed persons (PEPs) (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-008,Business customers,Business customers (betting exchange) (Likelihood: Medium Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-CV-009,Third party agents,Use of third parties or agents to obscure the source or ownership of money gambled by customers and their identities (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-MP-001,E-wallets,E-wallets providing separation from source of funds (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-MP-002,Cryptoasset transactions,Cryptoasset transactions providing anonymity (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-MP-003,Pre-paid cards,Pre-paid cards obscuring source of funds (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-MP-004,Lack of closed loop,Lack of 'closed loop' system allowing withdrawals to different methods (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-MP-005,Multiple payment methods,Multiple methods of payment layering transactions (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-PV-001,Peer to peer betting,Peer to peer betting enabling direct customer transactions (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
RBet-PV-002,Unregulated betting events,Unregulated betting events (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Betting
NRC-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: High Impact: High Overall: 9),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-OC-002,MLRO undermining,Undermining of the Money Laundering Reporting Officer (MLRO) role by senior management (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-OC-003,Lack of personnel competence,Lack of competence of key personnel and licence holders which can then potentially be exploited by criminals (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-OC-004,Inadequate due diligence,Lack of adequate and relevant due diligence checks conducted resulting in criminals laundering money (Likelihood: High Impact: High Overall: 9),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-OC-005,Lack of compliance officer,Lack of key person in place responsible for regulatory compliance (as required under regulation 21(1)(a)) (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-OC-006,Unlicensed ID checkers,Employees who do not hold a personal licence being responsible for ID checks (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-OC-007,Third party business relationships,Third party business relationships and business investors (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-OC-008,Unlicensed criminal employees,Unlicensed casino employees with known criminal records or suspected criminal activities (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
NRC-LI-001,Organized crime ownership,Gambling operations being acquired by organised crime to launder criminal proceeds (Likelihood: Medium Impact: High Overall: 6),Casino landbased,UKGC 2023 ML/TF Risk Assessment - Non-Remote Casino
